Read Details,Lea los detalles,module,Magento_AdminNotification
Mark as Read,Marcar como leído,module,Magento_AdminNotification
Are you sure?,¿Está seguro?,module,Magento_AdminNotification
Remove,Retirar,module,Magento_AdminNotification
Messages Inbox,Bandeja de entrada de mensajes,module,Magento_AdminNotification
You have %1 new system messages,Tiene nuevos mensajes de sistema %1,module,Magento_AdminNotification
You have %1 new system message,Tiene %1 nuevo mensaje del sistema,module,Magento_AdminNotification
Incoming Message,Mensaje entrante,module,Magento_AdminNotification
close,Cerrar,module,Magento_AdminNotification
Notifications,Notificaciones,module,Magento_AdminNotification
The message has been marked as Read.,El mensaje se ha marcado como leído.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,No hemos podido marcar como leído la notificación debido a un error.,module,Magento_AdminNotification
Please select messages.,Seleccione mensajes.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,Un total de %1 registro(s) han sido marcados como leídos.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,Total de %1 registro(s) han sido eliminados.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,No hemos podido eliminar los mensajes debido a un error.,module,Magento_AdminNotification
The message has been removed.,El mensaje se ha eliminado.,module,Magento_AdminNotification
1 Hour,1 hora,module,Magento_AdminNotification
2 Hours,2 horas,module,Magento_AdminNotification
6 Hours,6 horas,module,Magento_AdminNotification
12 Hours,12 horas,module,Magento_AdminNotification
24 Hours,24 horas,module,Magento_AdminNotification
critical,Crítica,module,Magento_AdminNotification
major,Principales,module,Magento_AdminNotification
minor,Menor,module,Magento_AdminNotification
notice,Anuncio,module,Magento_AdminNotification
Wrong message type,Tipo de mensaje equivocado,module,Magento_AdminNotification
Wrong notification ID specified.,Notificación incorrecta identificación especificada.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} no está recomendado para su uso en un entorno de producción para declarar la base insegura base URL / Dirección URL segura. Recomendamos encarecidamente cambiar este valor en su Magento <a href=""%1"">Configuración</a>.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Uno o más de los tipos de caché se invalidan: %1.,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vaya a <a href=""%1"">Gestión de caché</a> y actualizar tipos de caché.",module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,No hemos podido sincronizar uno o más archivos multimedia. Consulte el archivo de registro para obtener más detalles.,module,Magento_AdminNotification
Synchronization of media storages has been completed.,Sincronización de almacenamientos de medios ha sido completada.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,El servidor web está configurado correctamente y permite el acceso no autorizado a los archivos confidenciales. Póngase en contacto con su proveedor de servicios de hosting.,module,Magento_AdminNotification
System Messages:,Los mensajes del sistema:,module,Magento_AdminNotification
Critical System Messages,Los mensajes críticos del sistema,module,Magento_AdminNotification
Major System Messages,Los principales mensajes del sistema,module,Magento_AdminNotification
System messages,Los mensajes del sistema,module,Magento_AdminNotification
Close,Cerrar,module,Magento_AdminNotification
See All (,Ver todos (,module,Magento_AdminNotification
 unread)," 
No leído).",module,Magento_AdminNotification
Please correct the data sent.,"Por favor, corrija los datos enviados.",module,Magento_AdvancedPricingImportExport
Entity type model '%1' is not found,Modelo Tipo de entidad '%1' no se ha encontrado,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Modelo Tipo de entidad debe ser una instancia de \Magento\CatalogImportExport\Modelo\Export\product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,No hay tipos de productos disponibles para la exportación,module,Magento_AdvancedPricingImportExport
We can't find the role for the user you wanted.,No podemos encontrar la función para el usuario que deseaba.,module,Magento_Authorization
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Algo ha ido mal durante la compilación de una lista de recursos permitidos. Puede encontrar más información en el registro de excepciones.,module,Magento_Authorization
You created the order.,Se creó la orden.,module,Magento_Authorizenet
Order saving error: %1,Guardar orden de error: %1,module,Magento_Authorizenet
Please choose a payment method.,Elija un método de pago.,module,Magento_Authorizenet
We can't process your order right now. Please try again later.,"No podemos procesar su pedido en este momento. Por favor, inténtelo de nuevo más tarde.",module,Magento_Authorizenet
Unable to place order. Please try again later.,"Incapaz de poner orden. Por favor, inténtelo de nuevo más tarde.",module,Magento_Authorizenet
Credit Card: xxxx-%1,Tarjeta de crédito: xxxx-%1,module,Magento_Authorizenet
amount %1,Cantidad %1,module,Magento_Authorizenet
failed.,Ha fallado.,module,Magento_Authorizenet
successful.,Exitosa.,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net ID de transacción %1.,module,Magento_Authorizenet
authorize,Autorizar,module,Magento_Authorizenet
authorize and capture,Autorizar y capturar,module,Magento_Authorizenet
capture,Capturar,module,Magento_Authorizenet
refund,Restitución,module,Magento_Authorizenet
void,Void,module,Magento_Authorizenet
Gateway error: %1,Error pasarela: %1,module,Magento_Authorizenet
Something went wrong in the payment gateway.,Algo salió mal en la pasarela de pago.,module,Magento_Authorizenet
Invalid amount for capture.,Cantidad no válida para la captura.,module,Magento_Authorizenet
Payment capturing error.,Error de captura de pago.,module,Magento_Authorizenet
Invalid transaction ID.,ID de transacción no es válida.,module,Magento_Authorizenet
Payment voiding error.,Pago error miccional.,module,Magento_Authorizenet
Invalid amount for refund.,Cantidad no válida para el reembolso.,module,Magento_Authorizenet
Payment refunding error.,Error de devolución de pago.,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,La transacción fue rechazada porque la respuesta de error de validación de hash.,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,Este pago no funcionó porque no podemos encontrar este orden.,module,Magento_Authorizenet
There was a payment authorization error.,Hubo un error en la autorización de pago.,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,Introduzca un ID de transacción para autorizar este pago.,module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,"Algo ha ido mal: el importe pagado no coincide con el importe del pedido. Por favor, corrija y vuelva a intentarlo.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transacción %1 ha sido aprobado. Cantidad de %2. Estado de la transacción es ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transacción %1 ha sido anulada o rechazada. Estado de la transacción es ""%2"". Cantidad de %3.",module,Magento_Authorizenet
Authorize Only,Autorizar sólo,module,Magento_Authorizenet
Authorize and Capture,Autorizar y capturar,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,No se puede obtener los detalles de la transacción. Inténtelo de nuevo más tarde.,module,Magento_Authorizenet
Credit Card Type,El tipo de tarjeta de crédito.,module,Magento_Authorizenet
Credit Card Number,Número de tarjeta de crédito,module,Magento_Authorizenet
Expiration Date,Fecha de caducidad,module,Magento_Authorizenet
Card Verification Number,Número de verificación de tarjeta,module,Magento_Authorizenet
Fraud Detection ,Detección de Fraude,module,Magento_Authorizenet
FDS Filter Action,Acción de filtrado de FDS,module,Magento_Authorizenet
AVS Response,Respuesta de AVS.,module,Magento_Authorizenet
